region,address,"aux addres",latitude,longitude,type,power,service,id
NDMC,"Prithviraj Market, Rabindra Nagar, New Delhi- 110003","Electric Vehicle Charger, Prithviraj Market, Rabindra Nagar, New Delhi- 110003",28.600726,77.226252,DC-001,15,"Self Service",1
CMRL,"Nandanam Metro station Chennai (CMRL)","Electric Vehicle Charger, Nandanam Metro station Chennai (CMRL)",12.995922,80.210287,DC-001,15,"Self Service",2
"NOIDA AUTHORITY","Charger 2, Sector 2: State Bank of lndia, Noida - UP","Electric Vehicle Charger, Charger 2, Sector 2: State Bank of lndia, Noida - UP",28.535516,77.391027,"CCS/ChADEMO/ Type 2 AC",142,"Self Service",3
NDMC,"Outside Chelmsford Club/ Opposite CSIR Building, Rafi Marg, Sansad Marg Area, New Delhi 110001","Electric Vehicle Charger, Outside Chelmsford Club/ Opposite CSIR Building, Rafi Marg, Sansad Marg Area, New Delhi 110001",28.617783,77.212996,"CCS/ChADEMO/ Type 2 AC",142,"Self Service",4
NDMC,"Outside Chelmsford Club/ Opposite CSIR Building, Rafi Marg, Sansad Marg Area, New Delhi 110001","Electric Vehicle Charger, Outside Chelmsford Club/ Opposite CSIR Building, Rafi Marg, Sansad Marg Area, New Delhi 110001",28.617783,77.212996,"CCS/ChADEMO/ Type 2 AC",142,"Self Service",5
"NOIDA AUTHORITY","Charger 1, Sector 3: G-1 to G-50, Noida - UP","Electric Vehicle Charger, Charger 1, Sector 3: G-1 to G-50, Noida - UP",28.535516,77.391027,"CCS/ChADEMO/ Type 2 AC",142,"Self Service",6
CMRL,"Nandanam Metro station Chennai (CMRL)","Electric Vehicle Charger, Nandanam Metro station Chennai (CMRL)",12.995922,80.210287,AC-001,10,"Self Service",7
NDMC,"Prithviraj Market, Rabindra Nagar, New Delhi- 110003","Electric Vehicle Charger, Prithviraj Market, Rabindra Nagar, New Delhi- 110003",28.600726,77.226252,DC-001,15,"Self Service",8
"NOIDA AUTHORITY","Charger 2, Sector 3: G-1 to G-50, Noida - UP","Electric Vehicle Charger, Charger 2, Sector 3: G-1 to G-50, Noida - UP",28.535516,77.391027,"CCS/ChADEMO/ Type 2 AC",142,"Self Service",9
"NOIDA AUTHORITY","Charger 1, Sector 3: F-7 to F-8, Noida UP","Electric Vehicle Charger, Charger 1, Sector 3: F-7 to F-8, Noida UP",28.535516,77.391027,"CCS/ChADEMO/ Type 2 AC",142,"Self Service",10
