Name,Acceleration,TopSpeed,Range,Efficiency,FastChargeSpeed,Drive,NumberofSeats,PriceinGermany,PriceinUK,id,Battery_Capacity_kwh
"Opel Ampera-e",7.3,150,335,173,210,"Front Wheel Drive",5,42990,NULL,1,58
"Renault Kangoo Maxi ZE 33",22.4,130,160,194,NULL,"Front Wheel Drive",5,NULL,31680,2,31
"Nissan Leaf",7.9,144,220,164,230,"Front Wheel Drive",5,29990,25995,3,36
"Audi e-tron Sportback 55 quattro",5.7,200,375,231,600,"All Wheel Drive",5,NULL,79900,4,87
"Porsche Taycan Turbo S",2.8,260,390,215,860,"All Wheel Drive",4,186336,138830,5,84
"Nissan e-NV200 Evalia",14.0,123,165,218,170,"Front Wheel Drive",7,43433,30255,6,36
"Volkswagen ID.3 Pure Performance",8.9,160,275,164,260,"Rear Wheel Drive",5,31960,27120,7,45
"BMW iX3",6.8,180,385,192,520,"Rear Wheel Drive",5,66300,58850,8,74
"Nissan Leaf e+",7.3,157,325,172,390,"Front Wheel Drive",5,38350,30445,9,56
"BMW i3 120 Ah",7.3,150,235,161,270,"Rear Wheel Drive",4,39000,31305,10,38
"Mercedes EQA 250",8.9,160,355,187,420,"Front Wheel Drive",5,47541,43495,11,67
"DS 3 Crossback E-Tense",8.7,150,250,180,330,"Front Wheel Drive",5,30040,31500,12,45
"BMW i3s 120 Ah",6.9,160,230,165,260,"Rear Wheel Drive",4,42600,32305,13,38
"Sono Sion",9.0,140,260,181,310,"Front Wheel Drive",5,25500,NULL,14,47
"Audi e-tron GT RS",3.3,250,405,210,810,"All Wheel Drive",4,138200,110950,15,85
"Kia e-Soul 64 kWh",7.9,167,370,173,350,"Front Wheel Drive",5,NULL,37545,16,64
"Renault Zoe ZE50 R110",11.4,135,315,165,230,"Front Wheel Drive",5,31990,26795,17,52
"Hyundai IONIQ Electric",9.7,165,250,153,220,"Front Wheel Drive",5,35350,30550,18,38
"Lightyear One",10.0,150,575,104,540,"All Wheel Drive",5,149000,NULL,19,60
"Tesla Roadster",2.1,410,970,206,920,"All Wheel Drive",4,215000,189000,20,200
"Peugeot e-208",8.1,150,275,164,370,"Front Wheel Drive",5,30450,27225,21,45
"Honda e",9.0,145,170,168,190,"Rear Wheel Drive",4,33850,27660,22,29
"CUPRA Born 110 kW - 55 kWh",8.9,160,275,164,440,"Rear Wheel Drive",5,32700,28500,23,45
"Audi Q4 e-tron 35",9.0,160,280,184,390,"Rear Wheel Drive",5,41900,40750,24,52
"Tesla Model Y Long Range Dual Motor",5.1,217,450,169,750,"All Wheel Drive",7,59965,54000,25,76
"Tesla Model Y Performance",3.7,241,430,177,720,"All Wheel Drive",7,66965,60000,26,76
"Porsche Taycan 4 Cross Turismo",5.1,220,405,207,850,"All Wheel Drive",4,93635,79340,27,84
"Skoda Enyaq iV 50",11.3,160,295,176,240,"Rear Wheel Drive",5,33800,NULL,28,52
"Volkswagen e-Up!",11.9,130,205,158,170,"Front Wheel Drive",4,NULL,NULL,29,32
"SEAT Mii Electric",12.3,130,205,158,170,"Front Wheel Drive",4,24650,NULL,30,32
"JAC iEV7s",12.0,132,225,173,160,"Front Wheel Drive",5,NULL,NULL,31,39
"Opel Corsa-e",8.1,150,275,164,370,"Front Wheel Drive",5,29000,27140,32,45
"MG ZS EV",8.2,140,220,193,260,"Front Wheel Drive",5,31990,25995,33,43
"Volkswagen ID.3 Pro",9.6,160,350,166,440,"Rear Wheel Drive",5,34995,28420,34,58
"Volkswagen ID.3 Pro S",7.9,160,450,171,550,"Rear Wheel Drive",4,41995,38800,35,77
"Hyundai Kona Electric 64 kWh",7.9,167,395,162,370,"Front Wheel Drive",5,41850,NULL,36,64
"Renault Zoe ZE50 R135",9.5,140,310,168,230,"Front Wheel Drive",5,33990,28795,37,52
"Peugeot e-2008 SUV",8.5,150,250,180,330,"Front Wheel Drive",5,35450,30730,38,45
"Audi e-tron 50 quattro",6.8,190,280,231,470,"All Wheel Drive",5,69100,60600,39,65
"Porsche Taycan Turbo",3.2,260,400,209,840,"All Wheel Drive",4,153016,115860,40,84
"Smart EQ fortwo coupe",11.6,130,100,167,NULL,"Rear Wheel Drive",2,18460,19200,41,17
"Volkswagen ID.4 Pure Performance",9.0,160,285,182,410,"Rear Wheel Drive",5,38450,36030,42,52
"Smart EQ fortwo cabrio",11.9,130,95,176,NULL,"Rear Wheel Drive",2,21720,21620,43,17
"Smart EQ forfour",12.7,130,95,176,NULL,"Rear Wheel Drive",4,19120,19795,44,17
"Audi e-tron GT quattro",4.1,245,420,202,840,"All Wheel Drive",4,99800,79900,45,85
"Honda e Advance",8.3,145,170,168,190,"Rear Wheel Drive",4,38000,30160,46,29
"Volvo C40 Recharge",4.7,180,340,221,440,"All Wheel Drive",5,62050,57400,47,75
"Hyundai Kona Electric 39 kWh",9.9,155,250,157,210,"Front Wheel Drive",5,35650,27950,48,39
"Hyundai Kona Electric 64 kWh",7.9,167,395,162,370,"Front Wheel Drive",5,41850,32550,49,64
"Porsche Taycan 4S Cross Turismo",4.1,240,405,207,850,"All Wheel Drive",4,111842,87820,50,84
"Porsche Taycan Turbo Cross Turismo",3.3,250,385,217,800,"All Wheel Drive",4,154444,116950,51,84
"Porsche Taycan Turbo S Cross Turismo",2.9,250,380,220,790,"All Wheel Drive",4,187746,139910,52,84
"Kia EV6 GT",3.5,260,395,196,920,"All Wheel Drive",5,65990,58295,53,77
"Byton M-Byte 72 kWh 2WD",7.5,190,325,222,420,"Rear Wheel Drive",5,53500,50000,54,72
"BMW iX xDrive40",6.1,200,350,203,470,"All Wheel Drive",5,77300,69905,55,71
"Byton M-Byte 95 kWh 4WD",5.5,190,390,244,460,"All Wheel Drive",5,64000,60000,56,95
"Renault Zoe ZE40 R110",11.4,135,255,161,230,"Front Wheel Drive",5,29990,NULL,57,41
"Porsche Taycan 4S",4.0,250,375,189,750,"All Wheel Drive",4,106487,83580,58,71
"Porsche Taycan 4S Plus",4.0,250,435,192,910,"All Wheel Drive",4,113008,88193,59,84
"Hyundai Kona Electric 39 kWh",9.9,155,250,157,210,"Front Wheel Drive",5,34850,NULL,60,39
